text,label,category,severity,sentiment
"After raising my concern, a representative called me back promptly and resolved everything. Very satisfied.",__label__2,Delivery Issue,Low,Positive
The replacement product arrived in perfect condition. Great customer service experience overall.,__label__2,Refund Issue,Low,Positive
The refund appeared in my account within 2 business days. Excellent service.,__label__2,Refund Issue,Low,Positive
I was charged a hidden fee of $68.06 that was not displayed during checkout. This is deceptive pricing.,__label__1,Payment Issue,High,Negative
I have been waiting 3 days for my refund and keep getting told to wait another 3-5 business days. This is unacceptable.,__label__1,Refund Issue,Low,Negative
I returned the product in original condition within the return window and my refund was denied. I want a full explanation.,__label__1,Refund Issue,High,Negative
Your return policy says 30 days but your team is now refusing to process my refund claiming the window has passed. This is misleading.,__label__1,Refund Issue,Medium,Negative
Order 421282 shows delivered but I was home all day and no one knocked. Package is nowhere to be found.,__label__1,Delivery Issue,Medium,Negative
The product fell apart after just one week of use. This is clearly a quality control issue on your end.,__label__1,Product Quality,Low,Negative
My account shows a pending charge of $143.15 that has been there for 20 days. Please clarify this charge.,__label__1,Payment Issue,Medium,Negative
I have emailed your support team 3 times with no reply. This complete lack of response is unacceptable.,__label__1,Customer Service,Medium,Negative
My refund was processed faster than expected. Thank you for the smooth resolution.,__label__2,Delivery Issue,Low,Positive
The replacement product arrived in perfect condition. Great customer service experience overall.,__label__2,Product Quality,Low,Positive
Your customer service representative was extremely rude and dismissive when I called about my issue. This is no way to treat customers.,__label__1,Customer Service,Medium,Negative
I returned my order 6 days ago and still haven't received my refund. I have the return tracking number confirming delivery.,__label__1,Refund Issue,Medium,Negative
I received a full refund and a discount voucher for the inconvenience. Very happy with the resolution.,__label__2,Refund Issue,Low,Positive
I returned my order 7 days ago and still haven't received my refund. I have the return tracking number confirming delivery.,__label__1,Refund Issue,High,Negative
I was charged twice for the same order. I can see two transactions of $156.47 on my credit card statement dated 5/6/2024.,__label__1,Payment Issue,Medium,Negative
I was promised a full refund within 5-7 business days but it has been 19 days and nothing has appeared in my account.,__label__1,Refund Issue,Medium,Negative
"The product is nothing like the description. The material is cheap and flimsy, completely unlike what was advertised.",__label__1,Product Quality,Medium,Negative
The item I received is clearly not authentic. The quality is nothing like what was shown in the product images.,__label__1,Product Quality,Medium,Negative
My payment failed at checkout but my card was still charged. I did not receive any order confirmation or product.,__label__1,Payment Issue,High,Negative
I was charged a hidden fee of $172.54 that was not displayed during checkout. This is deceptive pricing.,__label__1,Payment Issue,Medium,Negative
I cancelled my order within minutes of placing it but was still charged. Your cancellation policy says orders can be cancelled within 1 hour.,__label__1,Payment Issue,Low,Negative
My account shows a pending charge of $193.01 that has been there for 15 days. Please clarify this charge.,__label__1,Payment Issue,Medium,Negative
I have contacted your support team 6 times over the past 20 days and have not received a single useful response.,__label__1,Customer Service,Low,Negative
"After raising my concern, a representative called me back promptly and resolved everything. Very satisfied.",__label__2,Product Quality,Low,Positive
The product fell apart after just one week of use. This is clearly a quality control issue on your end.,__label__1,Product Quality,Medium,Negative
My order #660957 was supposed to arrive on 1/3/2024 but it still hasn't shown up. The tracking hasn't updated in 6 days. This is completely unacceptable.,__label__1,Delivery Issue,Medium,Negative
Your support team gave me completely incorrect information which made my situation worse. I want to speak to a manager.,__label__1,Customer Service,Low,Negative
"I was skeptical after my order was delayed, but your team tracked it down and delivered it the next day. Well done.",__label__2,Refund Issue,Low,Positive
I submitted a support ticket 20 days ago and have received no response. I need this issue resolved urgently.,__label__1,Customer Service,Medium,Negative
The courier left my package outside in the rain and it got completely damaged. This is terrible handling of deliveries.,__label__1,Delivery Issue,High,Negative
My package was returned to sender without any attempt to contact me. Now I have to wait another week for redelivery.,__label__1,Delivery Issue,Medium,Negative
My order #637145 was supposed to arrive on 12/1/2024 but it still hasn't shown up. The tracking hasn't updated in 21 days. This is completely unacceptable.,__label__1,Delivery Issue,Medium,Negative
Wrong item was delivered to my address. I ordered charger but received something completely different. Please send the correct item.,__label__1,Delivery Issue,Medium,Negative
I have contacted your support team 5 times over the past 21 days and have not received a single useful response.,__label__1,Customer Service,Medium,Negative
I was charged for an item that was out of stock. You processed payment without having the item available.,__label__1,Payment Issue,Medium,Negative
My order #740225 was supposed to arrive on 20/7/2024 but it still hasn't shown up. The tracking hasn't updated in 5 days. This is completely unacceptable.,__label__1,Delivery Issue,Medium,Negative
My order #681896 was supposed to arrive on 9/4/2024 but it still hasn't shown up. The tracking hasn't updated in 7 days. This is completely unacceptable.,__label__1,Delivery Issue,Low,Negative
My complaint was escalated and resolved within hours. Impressed by the responsiveness.,__label__2,Refund Issue,Low,Positive
Your representative confirmed my refund over the phone but two weeks later I have received nothing.,__label__1,Refund Issue,Low,Negative
Every time I contact support I get transferred to a different department and have to explain my issue from scratch. Very frustrating.,__label__1,Customer Service,Low,Negative
The replacement product arrived in perfect condition. Great customer service experience overall.,__label__2,Refund Issue,Low,Positive
My coffee maker stopped working after just 15 days of normal use. For the price I paid I expected it to last much longer.,__label__1,Product Quality,High,Negative
I have been waiting 16 days for my refund and keep getting told to wait another 3-5 business days. This is unacceptable.,__label__1,Refund Issue,Medium,Negative
Your customer service representative was extremely rude and dismissive when I called about my issue. This is no way to treat customers.,__label__1,Customer Service,Low,Negative
I returned my order 12 days ago and still haven't received my refund. I have the return tracking number confirming delivery.,__label__1,Refund Issue,High,Negative
I paid for express shipping but my order arrived 14 days late. I want a refund on the shipping fee at minimum.,__label__1,Delivery Issue,Medium,Negative
I was charged a hidden fee of $124.55 that was not displayed during checkout. This is deceptive pricing.,__label__1,Payment Issue,Medium,Negative
I ordered laptop but received a counterfeit version. The branding looks fake and the quality is terrible.,__label__1,Product Quality,Medium,Negative
Your live chat support disconnected in the middle of our conversation and I never received a follow-up.,__label__1,Customer Service,Medium,Negative
My replacement arrived quickly and the product works perfectly. Happy with how this was handled.,__label__2,Customer Service,Low,Positive
The product fell apart after just one week of use. This is clearly a quality control issue on your end.,__label__1,Product Quality,Medium,Negative
I was told my complaint was escalated to a supervisor but nobody has contacted me in 17 days.,__label__1,Customer Service,High,Negative
My complaint was escalated and resolved within hours. Impressed by the responsiveness.,__label__2,Delivery Issue,Low,Positive
The product arrived completely broken. The blender was cracked and unusable right out of the box.,__label__1,Product Quality,Medium,Negative
I have contacted your support team 6 times over the past 10 days and have not received a single useful response.,__label__1,Customer Service,Medium,Negative
I received a full refund and a discount voucher for the inconvenience. Very happy with the resolution.,__label__2,Refund Issue,Low,Positive
I paid for express shipping but my order arrived 19 days late. I want a refund on the shipping fee at minimum.,__label__1,Delivery Issue,Medium,Negative
Your support team gave me completely incorrect information which made my situation worse. I want to speak to a manager.,__label__1,Customer Service,Medium,Negative
I was charged for an item that was out of stock. You processed payment without having the item available.,__label__1,Payment Issue,Medium,Negative
My payment failed at checkout but my card was still charged. I did not receive any order confirmation or product.,__label__1,Payment Issue,High,Negative
After 9 days the product started malfunctioning. Given the price this is completely unacceptable quality.,__label__1,Product Quality,Medium,Negative
Your live chat support disconnected in the middle of our conversation and I never received a follow-up.,__label__1,Customer Service,Low,Negative
"I was skeptical after my order was delayed, but your team tracked it down and delivered it the next day. Well done.",__label__2,Delivery Issue,Low,Positive
I have contacted your support team 3 times over the past 3 days and have not received a single useful response.,__label__1,Customer Service,Low,Negative
Your support team gave me completely incorrect information which made my situation worse. I want to speak to a manager.,__label__1,Customer Service,Medium,Negative
I returned a defective item and only received a partial refund. I want the full amount back as the fault was on your end.,__label__1,Refund Issue,High,Negative
Item arrived with visible damage — scratches and dents that look like it was a returned or used product.,__label__1,Product Quality,Medium,Negative
My account shows a pending charge of $135.68 that has been there for 13 days. Please clarify this charge.,__label__1,Payment Issue,Low,Negative
I was charged for an item that was out of stock. You processed payment without having the item available.,__label__1,Payment Issue,High,Negative
I returned my order 11 days ago and still haven't received my refund. I have the return tracking number confirming delivery.,__label__1,Refund Issue,Medium,Negative
I have been waiting 18 days for my refund and keep getting told to wait another 3-5 business days. This is unacceptable.,__label__1,Refund Issue,High,Negative
The product quality issue was acknowledged and a replacement was sent the same day.,__label__2,Product Quality,Low,Positive
I returned the product in original condition within the return window and my refund was denied. I want a full explanation.,__label__1,Refund Issue,Medium,Negative
My smartwatch stopped working after just 5 days of normal use. For the price I paid I expected it to last much longer.,__label__1,Product Quality,Medium,Negative
I was told my complaint was escalated to a supervisor but nobody has contacted me in 11 days.,__label__1,Customer Service,Medium,Negative
My package was returned to sender without any attempt to contact me. Now I have to wait another week for redelivery.,__label__1,Delivery Issue,Medium,Negative
My payment failed at checkout but my card was still charged. I did not receive any order confirmation or product.,__label__1,Payment Issue,Medium,Negative
I ordered backpack but received a counterfeit version. The branding looks fake and the quality is terrible.,__label__1,Product Quality,Low,Negative
I returned a defective item and only received a partial refund. I want the full amount back as the fault was on your end.,__label__1,Refund Issue,Medium,Negative
I'm pleased to say the issue was fully resolved. Your support team was professional and efficient.,__label__2,Product Quality,Low,Positive
The delivery was 8 days late. I needed this item for an important event and it arrived too late to be useful. Very disappointed.,__label__1,Delivery Issue,High,Negative
The desk lamp does not work as described. The features listed on the product page are simply not present.,__label__1,Product Quality,Medium,Negative
My shipment has been stuck at the distribution center for 11 days with no updates. Customer service can't tell me what's happening.,__label__1,Delivery Issue,Low,Negative
My refund request has been pending for 8 days. Every time I call I get a different story. I need this resolved now.,__label__1,Refund Issue,Medium,Negative
I have been on hold for over an hour and still haven't spoken to anyone. This level of service is completely unacceptable.,__label__1,Customer Service,Low,Negative
My camera stopped working after just 13 days of normal use. For the price I paid I expected it to last much longer.,__label__1,Product Quality,Low,Negative
Your support team gave me completely incorrect information which made my situation worse. I want to speak to a manager.,__label__1,Customer Service,Low,Negative
My card was charged $30.59 but the order total was $134.77. I was overcharged and want the difference refunded immediately.,__label__1,Payment Issue,High,Negative
I have emailed your support team 3 times with no reply. This complete lack of response is unacceptable.,__label__1,Customer Service,Medium,Negative
I ordered monitor but received a counterfeit version. The branding looks fake and the quality is terrible.,__label__1,Product Quality,Medium,Negative
My shipment has been stuck at the distribution center for 6 days with no updates. Customer service can't tell me what's happening.,__label__1,Delivery Issue,Low,Negative
Every time I contact support I get transferred to a different department and have to explain my issue from scratch. Very frustrating.,__label__1,Customer Service,Low,Negative
My promotional discount was not applied at checkout despite entering the code correctly. I was charged full price.,__label__1,Payment Issue,High,Negative
The delivery was 13 days late. I needed this item for an important event and it arrived too late to be useful. Very disappointed.,__label__1,Delivery Issue,Medium,Negative
I was charged a hidden fee of $129.91 that was not displayed during checkout. This is deceptive pricing.,__label__1,Payment Issue,Low,Negative
I paid for express shipping but my order arrived 18 days late. I want a refund on the shipping fee at minimum.,__label__1,Delivery Issue,Medium,Negative
I was charged a hidden fee of $178.07 that was not displayed during checkout. This is deceptive pricing.,__label__1,Payment Issue,Low,Negative
I returned a defective item and only received a partial refund. I want the full amount back as the fault was on your end.,__label__1,Refund Issue,Medium,Negative
Every time I contact support I get transferred to a different department and have to explain my issue from scratch. Very frustrating.,__label__1,Customer Service,Medium,Negative
Your support team gave me completely incorrect information which made my situation worse. I want to speak to a manager.,__label__1,Customer Service,Low,Negative
Every time I contact support I get transferred to a different department and have to explain my issue from scratch. Very frustrating.,__label__1,Customer Service,Low,Negative
I returned a defective item and only received a partial refund. I want the full amount back as the fault was on your end.,__label__1,Refund Issue,Medium,Negative
The item I received is clearly not authentic. The quality is nothing like what was shown in the product images.,__label__1,Product Quality,Low,Negative
"I was skeptical after my order was delayed, but your team tracked it down and delivered it the next day. Well done.",__label__2,Customer Service,Low,Positive
The product arrived completely broken. The phone case was cracked and unusable right out of the box.,__label__1,Product Quality,Low,Negative
I placed an order 20 days ago and it hasn't been delivered yet. The tracking shows it left the warehouse but nothing since. Where is my package?,__label__1,Delivery Issue,Low,Negative
I ordered blender but received a counterfeit version. The branding looks fake and the quality is terrible.,__label__1,Product Quality,Low,Negative
I have emailed your support team 2 times with no reply. This complete lack of response is unacceptable.,__label__1,Customer Service,Low,Negative
My replacement arrived quickly and the product works perfectly. Happy with how this was handled.,__label__2,Payment Issue,Low,Positive
I received a defective unit. The smartwatch has a manufacturing defect that makes it unusable. I want a replacement.,__label__1,Product Quality,Medium,Negative
My card was charged $62.73 but the order total was $90.47. I was overcharged and want the difference refunded immediately.,__label__1,Payment Issue,High,Negative
My package was returned to sender without any attempt to contact me. Now I have to wait another week for redelivery.,__label__1,Delivery Issue,High,Negative
"After raising my concern, a representative called me back promptly and resolved everything. Very satisfied.",__label__2,Delivery Issue,Low,Positive
I returned the product in original condition within the return window and my refund was denied. I want a full explanation.,__label__1,Refund Issue,Medium,Negative
Your return policy says 30 days but your team is now refusing to process my refund claiming the window has passed. This is misleading.,__label__1,Refund Issue,Low,Negative
I was promised a full refund within 5-7 business days but it has been 9 days and nothing has appeared in my account.,__label__1,Refund Issue,Low,Negative
Your agent promised to call me back within 24 hours. It has been 11 days and I have heard nothing.,__label__1,Customer Service,Medium,Negative
I was promised a full refund within 5-7 business days but it has been 16 days and nothing has appeared in my account.,__label__1,Refund Issue,High,Negative
My replacement arrived quickly and the product works perfectly. Happy with how this was handled.,__label__2,Delivery Issue,Low,Positive
I cancelled my order within minutes of placing it but was still charged. Your cancellation policy says orders can be cancelled within 1 hour.,__label__1,Payment Issue,Medium,Negative
My account shows a pending charge of $28.14 that has been there for 14 days. Please clarify this charge.,__label__1,Payment Issue,Medium,Negative
The refund amount I received is incorrect — I was refunded $185.77 but I paid $124.48. Please correct this immediately.,__label__1,Refund Issue,Medium,Negative
Wrong item was delivered to my address. I ordered keyboard but received something completely different. Please send the correct item.,__label__1,Delivery Issue,Medium,Negative
I ordered backpack but received a counterfeit version. The branding looks fake and the quality is terrible.,__label__1,Product Quality,Medium,Negative
I wanted to follow up — your team resolved my delivery issue within 24 hours. Very impressed with the quick response.,__label__2,Customer Service,Low,Positive
I was charged a hidden fee of $54.49 that was not displayed during checkout. This is deceptive pricing.,__label__1,Payment Issue,Medium,Negative
My refund request has been pending for 12 days. Every time I call I get a different story. I need this resolved now.,__label__1,Refund Issue,Medium,Negative
The delivery was 6 days late. I needed this item for an important event and it arrived too late to be useful. Very disappointed.,__label__1,Delivery Issue,Low,Negative
I submitted a support ticket 17 days ago and have received no response. I need this issue resolved urgently.,__label__1,Customer Service,Medium,Negative
My refund request has been pending for 5 days. Every time I call I get a different story. I need this resolved now.,__label__1,Refund Issue,High,Negative
I have emailed your support team 3 times with no reply. This complete lack of response is unacceptable.,__label__1,Customer Service,Low,Negative
Your customer service representative was extremely rude and dismissive when I called about my issue. This is no way to treat customers.,__label__1,Customer Service,Medium,Negative
I returned a defective item and only received a partial refund. I want the full amount back as the fault was on your end.,__label__1,Refund Issue,Medium,Negative
My refund was processed faster than expected. Thank you for the smooth resolution.,__label__2,Payment Issue,Low,Positive
An unauthorized charge of $130.91 appeared on my account. I did not authorize this transaction and want it reversed.,__label__1,Payment Issue,High,Negative
I received a full refund and a discount voucher for the inconvenience. Very happy with the resolution.,__label__2,Payment Issue,Low,Positive
I have been on hold for over an hour and still haven't spoken to anyone. This level of service is completely unacceptable.,__label__1,Customer Service,Medium,Negative
My order #706063 was supposed to arrive on 17/2/2024 but it still hasn't shown up. The tracking hasn't updated in 19 days. This is completely unacceptable.,__label__1,Delivery Issue,Medium,Negative
I received a defective unit. The camera has a manufacturing defect that makes it unusable. I want a replacement.,__label__1,Product Quality,Low,Negative
I returned my order 11 days ago and still haven't received my refund. I have the return tracking number confirming delivery.,__label__1,Refund Issue,High,Negative
My refund request has been pending for 14 days. Every time I call I get a different story. I need this resolved now.,__label__1,Refund Issue,Low,Negative
My order #838793 was supposed to arrive on 28/11/2024 but it still hasn't shown up. The tracking hasn't updated in 19 days. This is completely unacceptable.,__label__1,Delivery Issue,Low,Negative
My shipment has been stuck at the distribution center for 16 days with no updates. Customer service can't tell me what's happening.,__label__1,Delivery Issue,High,Negative
I received a full refund and a discount voucher for the inconvenience. Very happy with the resolution.,__label__2,Product Quality,Low,Positive
Your support team gave me completely incorrect information which made my situation worse. I want to speak to a manager.,__label__1,Customer Service,Medium,Negative
I have been on hold for over an hour and still haven't spoken to anyone. This level of service is completely unacceptable.,__label__1,Customer Service,Low,Negative
The product arrived completely broken. The coffee maker was cracked and unusable right out of the box.,__label__1,Product Quality,Medium,Negative
I ordered tablet but received a counterfeit version. The branding looks fake and the quality is terrible.,__label__1,Product Quality,Low,Negative
Customer support was extremely helpful and resolved my billing error without any hassle.,__label__2,Delivery Issue,Low,Positive
My shipment has been stuck at the distribution center for 13 days with no updates. Customer service can't tell me what's happening.,__label__1,Delivery Issue,Medium,Negative
I have been waiting 21 days for my refund and keep getting told to wait another 3-5 business days. This is unacceptable.,__label__1,Refund Issue,Medium,Negative
I have contacted your support team 5 times over the past 11 days and have not received a single useful response.,__label__1,Customer Service,Low,Negative
I returned my order 16 days ago and still haven't received my refund. I have the return tracking number confirming delivery.,__label__1,Refund Issue,High,Negative
I returned the product in original condition within the return window and my refund was denied. I want a full explanation.,__label__1,Refund Issue,Medium,Negative
After 20 days the product started malfunctioning. Given the price this is completely unacceptable quality.,__label__1,Product Quality,Low,Negative
My package was marked as delivered but I never received it. I checked with my neighbors and no one has it. I need this resolved immediately.,__label__1,Delivery Issue,Low,Negative
The delivery was 21 days late. I needed this item for an important event and it arrived too late to be useful. Very disappointed.,__label__1,Delivery Issue,Low,Negative
Your representative confirmed my refund over the phone but two weeks later I have received nothing.,__label__1,Refund Issue,Low,Negative
I paid for express shipping but my order arrived 10 days late. I want a refund on the shipping fee at minimum.,__label__1,Delivery Issue,Medium,Negative
I placed an order 5 days ago and it hasn't been delivered yet. The tracking shows it left the warehouse but nothing since. Where is my package?,__label__1,Delivery Issue,Medium,Negative
My card was charged $90.01 but the order total was $120.04. I was overcharged and want the difference refunded immediately.,__label__1,Payment Issue,Medium,Negative
Your customer service representative was extremely rude and dismissive when I called about my issue. This is no way to treat customers.,__label__1,Customer Service,Low,Negative
Your support team gave me completely incorrect information which made my situation worse. I want to speak to a manager.,__label__1,Customer Service,High,Negative
I have emailed your support team 2 times with no reply. This complete lack of response is unacceptable.,__label__1,Customer Service,Medium,Negative
My order #364742 was supposed to arrive on 28/8/2024 but it still hasn't shown up. The tracking hasn't updated in 6 days. This is completely unacceptable.,__label__1,Delivery Issue,High,Negative
My card was charged $79.83 but the order total was $176.99. I was overcharged and want the difference refunded immediately.,__label__1,Payment Issue,High,Negative
I have emailed your support team 3 times with no reply. This complete lack of response is unacceptable.,__label__1,Customer Service,Medium,Negative
My package was marked as delivered but I never received it. I checked with my neighbors and no one has it. I need this resolved immediately.,__label__1,Delivery Issue,Low,Negative
My package was returned to sender without any attempt to contact me. Now I have to wait another week for redelivery.,__label__1,Delivery Issue,Low,Negative
I was charged for an item that was out of stock. You processed payment without having the item available.,__label__1,Payment Issue,Medium,Negative
Your customer service representative was extremely rude and dismissive when I called about my issue. This is no way to treat customers.,__label__1,Customer Service,Low,Negative
An unauthorized charge of $21.53 appeared on my account. I did not authorize this transaction and want it reversed.,__label__1,Payment Issue,High,Negative
Your return policy says 30 days but your team is now refusing to process my refund claiming the window has passed. This is misleading.,__label__1,Refund Issue,Medium,Negative
The refund amount I received is incorrect — I was refunded $173.19 but I paid $117.51. Please correct this immediately.,__label__1,Refund Issue,Medium,Negative
My order #382234 was supposed to arrive on 18/10/2024 but it still hasn't shown up. The tracking hasn't updated in 6 days. This is completely unacceptable.,__label__1,Delivery Issue,High,Negative
My complaint was escalated and resolved within hours. Impressed by the responsiveness.,__label__2,Customer Service,Low,Positive
My card was charged $67.82 but the order total was $182.37. I was overcharged and want the difference refunded immediately.,__label__1,Payment Issue,Medium,Negative
The product arrived completely broken. The desk lamp was cracked and unusable right out of the box.,__label__1,Product Quality,High,Negative
